file,sha256,line_count,nonempty_count,theorem_markers,log_markers,numeric_tokens
nx_versions/NX-39_CAHIER_CHARGES_TG.md,039034f2601138ee2dd2c937dce42ca0adff170f00d1fc2131d221e145e94147,30,23,2,1,35
nx_versions/lumvorax_v32_engine.cpp,606328dd4a9db276ed58dbef5e3bc5e7b89867efe1ea37d8427537f361db6039,91,76,0,3,80
nx_versions/lumvorax_v4_kerr_engine.cpp,cf1bcf150d9b10f1474649681b0351c99701e9928c2f959569768637afe6d7c3,85,68,0,2,81
nx_versions/nx11_logger_engine.py,cb5825b26d94cb2776a83721f482a727df689d5b9f45763d71825bf7257ca9dc,205,172,0,33,190
nx_versions/nx21_engine.cpp,6ba31fbc203b9394492e10a5eca39031b296df2ad94f2df9f94836faa2904af7,75,62,0,7,49
nx_versions/nx22_torture_engine.cpp,049bf866acccddc58c0960b7ec3a88d94ff0103e43fd7bbba393b449c39d2f79,120,102,0,14,165
nx_versions/nx23_exploration_engine.cpp,d3dea40c50b13ff9521fb9c0aadb5cc8780751b1b86eef267a5b539879bd8b8b,122,105,0,8,200
nx_versions/nx24_falsification_engine.cpp,7e7f945815f5cbe17c37d6046aeb051591ad78116ca1315754fb539cb5c213f4,122,105,0,14,161
nx_versions/nx25_heritage_engine.cpp,fc9b286e66c4efd12be020895877e5547605cbd4777c95a11b34c4cddcfa4e77,132,115,0,12,179
nx_versions/nx26_production_engine.cpp,061f4ba0ade857cff09fde5fec40eca9882b8352879b4f43f4f739fb63de8cb5,126,108,0,20,220
nx_versions/nx27_iq_engine.cpp,48095578b31ebe867cbf4c977736dd9a330c5582ce6c69517ad4f412c49de22f,132,112,0,17,212
nx_versions/nx28_app_engine.cpp,4de0a40b99f019030908ccff10ffd0143f855be13a1977628d150058850c01d0,97,84,0,1,183
nx_versions/nx29_bridge_engine.cpp,bb38952b67ae4c3df07a393aecc71cf6659550f53c60227e348dbc6e1e72f281,119,103,0,4,193
nx_versions/nx30_dialogue_engine.cpp,43e10825881ac26861f03662eb71f259f37b3b5501ab53802359da3cb9651b93,103,85,1,8,169
nx_versions/nx31_forensic_engine.cpp,7051b233f0c93b52a78309f42adb948834f2aa3f2fb65996f81c5d9959acc547,59,45,0,14,58
nx_versions/nx31_grand_conjectures_engine.cpp,c6d6680980ae85c7d0d6e5129cde48fbf2daa7fe72482ce0d6d8811ecc600ed6,66,56,0,6,25
nx_versions/nx31_iamo3_solver.cpp,7aebecee05ab25d34c324259a9b891d863a979da232230d610356fcfcc939ed6,92,77,1,0,98
nx_versions/nx32_bit_by_bit_logger.cpp,e8552c68f63d85a047273030efde3d155985c63bb035e0644b06dd036e5829ca,17,16,0,3,34
nx_versions/nx32_fixed_logger.cpp,ff18b32931d2c543aa4e40fe8e4832dedc663108f3880b8bacf1609e2a7db4c3,35,29,0,9,40
nx_versions/nx32_ultimate_engine.cpp,3ba43f5939711c009f8d5d96a3ea34a990595e2840e45149ecae5c63264faf40,100,81,0,12,125
nx_versions/nx33_aristotle_friendly.lean,877afbceabb1899a0368ed9443c6f393b9fe59d4e6b0e1b502fc7d8b67d905c7,37,33,1,0,31
nx_versions/nx33_aristotle_friendly_aristotle.lean,bff3c4530b203caa00cd57b2f3a5f3ff9ebdd9479fbc17187dbbf6921ce794d3,63,54,4,0,84
nx_versions/nx33_aristotle_pure_core.lean,ea8a6ffdbfeaa698225a9bbfec00928ffe4a6a8181cdc8db9fd2d2b0af5b8cff,65,57,5,3,41
nx_versions/nx33_aristotle_pure_core_aristotle.lean,307c3133e7a120803958c8455b6191da2037453fe89fcd9bc0850228f27256c2,76,65,5,3,83
nx_versions/nx33_aristotle_v2.lean,367215a72f1a55f7eb67f35028dcec8ed29c1ef56a6750b2d6aa867ab64549cf,51,47,2,0,44
nx_versions/nx33_aristotle_v3.lean,d89c68b65f9da586b3bd1f11614910811a7b2a94f0b4e9f4d28a52a7aad36681,47,43,2,0,32
nx_versions/nx33_aristotle_v3_aristotle.lean,0c0ae9f1f2cb5543b9c121dc33772bd7923a0aaee60eda55d9f392654a719c68,59,51,2,0,77
nx_versions/nx33_final_honest.lean,2ac0f7cd7e57081309005bdf869c0acbb5d92976a9b211588ad66602ec5a79df,61,57,2,1,73
nx_versions/nx33_install_verification.cpp,72ec66e52330fa1702b651d0dfb9613dafb5295cb0a375b8316ca1919a241b9c,28,22,0,0,9
nx_versions/nx33_option1_descent (copy).lean,ec829dd8d92677c714c41ad7e58c2d1b567a9fce6531db8eaab2feba8b43ed66,49,42,3,0,54
nx_versions/nx33_option1_descent.lean,8701e5230814d6547e4db81655a47b1235d0faafdcf465e4be0e339790cb025f,46,44,1,0,39
nx_versions/nx33_option2_eventual (copy).lean,b09c3ba7eaa45e362e3169ebbfb99049bfd5921d1d34e2b67daedeedc333805a,47,45,1,0,41
nx_versions/nx33_option2_eventual.lean,dd87f8ebc0605ddb4cfd71c1a052e43810285d529194d9f7bdabfe8594ee9436,16,14,1,0,9
nx_versions/nx35_constructive_collatz.lean,d9da8120df0a4f3682c946a794afc1deeb29afe17b0b1a80f4b8d849aa399cc6,142,121,7,14,119
nx_versions/nx35_constructive_collatz_v2.lean,3539645ccff38080774a4d983957fdb5209fe1f0c325a6f2255300a06f9f9c7f,122,100,5,11,108
nx_versions/nx35_constructive_collatz_v2_aristotle.lean,6502cc0fdd5b7e9e180c7924067d46991bf7122a2d00de1965f467d7fea7d872,206,167,5,15,177
nx_versions/nx35_constructive_collatz_v3.lean,9978c1621ed2c09f112a67565a7c727018ace738710eb19232eff81720e82200,115,100,5,11,108
nx_versions/nx35_constructive_collatz_v4.lean,4a0d4c2da27c1ac7e96fa4948c2cb48107f87e335aef58e73972892e2dd4cfb3,113,98,5,11,108
nx_versions/nx35_native_collatz_exact.lean,88f49a4c2f4b8a3cf113370e79c27264c8e5de6f47e3feba9ae13b3d4c532b47,136,113,8,0,91
nx_versions/nx35_native_collatz_exact_aristotle.lean,328b3e6f4123901c97f7870376b17d8d0246ec2eab30ff777ea99b8458502508,153,121,8,0,137
nx_versions/nx35_native_proof.lean,757bdb63a54a48756c891189afa66e046208abe81dd3d22c574469347099fac8,39,35,3,0,23
nx_versions/nx35_universal_engine.cpp,91148055146e983f32102de156404d9e68222d9cc38c008f5fc22d0f90b9c435,89,75,0,6,115
nx_versions/nx35_v2_extreme_engine.cpp,089392b4681d1e134c9096599e669446458424feb5ab0f1b255f91a78d6db288,88,72,0,8,91
nx_versions/nx35_v2_infinity_engine.cpp,792ae660df38eba8cb29b741d9a1b5ce26f0a0800acbfc494301be131e1c5e1c,92,76,0,8,92
nx_versions/nx35_v2_odd_engine.cpp,5fcb0523e1fa2ccfdd0fc1e0e963b1510163df34935c006b3728a1055cee9ace,56,47,0,2,57
nx_versions/nx35_v2_pure_engine.cpp,958588f05606fc5e3af1e6a7b4a7e2d9d62b79bc542c8e468d37670d046e2c3d,70,60,0,15,74
nx_versions/nx37_maitrise_10ns.lean,71bdce2a70dcfda8d39810688d170661b441e13f284e53d0c55a8838332f3b99,48,44,8,0,56
nx_versions/nx38_pure_core_ultra.lean,99b6ee8ec00d3eca35b93769fe345147dfb7195c44a24700550d1805502ff026,30,26,6,0,56
nx_versions/nx38_pure_core_ultra_aristotle.lean,45a729748703e15e393da38da9fa28c767c2f5a0f62117e333f08981ccb7b1af,51,43,6,0,113
nx_versions/nx38_pure_core_ultra_v2.lean,474fb5ed1a245aa851953f9798f470dcd1f014e464e5b757bab9d684761a3737,42,37,4,0,48
nx_versions/nx39_theoreme_gouffre.lean,660c8a8f822ead7321022c32150631611419d2605e1e81e103e52cbcf22ed2b2,83,71,9,2,98
nx_versions/nx41_lebesgue_engine.cpp,ba491f920f8e5f8f0d45b596b7817b81b0705723525cd6ddb027b45b5d51d1e5,59,49,0,5,37
nx_versions/nx46_v1_engine.cpp,473530ea7b46be3851e8a6614d8347e181bd3a9c4e21c210b9164e80d4774c99,90,77,0,10,105
nx_versions/nx46_v2_engine.cpp,6399e9332a33e4c24d699de89474f9c908fe5175cd06ebf8e9f8b68fb09a40cc,113,97,0,20,129
nx_versions/nx47_arc_kernel.py,31427c6202765a359eb134e69fadedb53af07cf2b580ed22fe740951ce3184c2,71,59,1,20,58
nx_versions/nx_44/ANALYSE_V44_PROOF_RESULTS_20260126.md,0f76e662a45495b9a83e220613f3124b071ec2647e5bf0442fc51967f9af056d,40,34,5,4,78
nx_versions/reconstruct_nx_history.py,02ac90872650207f7e3ac0a4f28cf90135fb8c4a3db9cc8a63dc7927b621fea4,26,19,0,9,34
nx_versions/run_nx12_execution.py,23085f095579bfd4ef889ecaa5a538361a2561772515aa4569435bc96f06dffc,53,43,0,7,56
nx_versions/run_nx13_execution.py,4c3a10708891982fab7db77d95fad34f1c2a7b6128cc4b93d5390d22413c9865,51,42,0,10,61
nx_versions/run_nx14_execution.py,5e4956ab40126a26f75610d0d4328bc082bc491d19b73aa3d31fd32a2c07eb21,33,26,0,11,60
nx_versions/run_nx15_execution.py,37de9ff49713416b85925d5bbb0d3d866f32cb1e3601732b47d634c29700d88e,38,31,0,14,58
nx_versions/run_nx16_execution.py,2ddda2c8e4a0c6d9b377b0e5bb289e1c99e41335be76df7e092f84ac247d9abb,43,33,0,11,43
nx_versions/run_nx17_execution.py,9d32f9b27ef7305ea231cfaa048241fb416d742000212de0a7622c38c19df153,43,33,0,10,56
nx_versions/run_nx18_execution.py,d7dc063af380e78133a2cf4b635050ccea65cfd9b08a5389cf063096407e4c19,51,39,0,13,66
nx_versions/run_nx19_execution.py,7a7b79bad9edbde9be635111d43f311077d47569b4acb9b8eb637ab3ba9fc56f,56,42,0,15,87
nx_versions/run_nx20_execution.py,ab816b6f03c942d1f0126b6eb7c9e8240339cdd4aca8b56e7a820bcac7f20676,59,45,0,14,87
